bin,eta,gap_from_theory,gap_percent,kernel,locality_pass_rate,n_fit_points,n_queries,r_eff_over_h_median,span_decades,y_range_max,y_range_min
global,1.6196,-1.3804,-46.0,tricube,1.00,12,,0.383,0.65,,
global,1.5002,-1.4998,-50.0,gaussian,0.47,8,,1.008,0.70,,
bin_00,1.9980,-1.0020,-33.4,tricube,,,12,,,0.0110,0.0104
bin_01,2.3108,-0.6892,-23.0,tricube,,,12,,,0.0115,0.0110
bin_02,3.1270,0.1270,4.2,tricube,,,12,,,0.0120,0.0115
bin_03,3.6255,0.6255,20.9,tricube,,,12,,,0.0124,0.0120
bin_04,3.1676,0.1676,5.6,tricube,,,12,,,0.0131,0.0124
bin_05,2.5433,-0.4567,-15.2,tricube,,,12,,,0.0144,0.0131
bin_06,1.3876,-1.6124,-53.7,tricube,,,12,,,0.0155,0.0144
bin_07,1.7931,-1.2069,-40.2,tricube,,,12,,,0.0165,0.0155
bin_08,1.9118,-1.0882,-36.3,tricube,,,12,,,0.0179,0.0165
bin_09,1.3375,-1.6625,-55.4,tricube,,,11,,,0.0198,0.0179
weighted,2.3285,-0.6715,-22.4,tricube,,,,,,,
weighted,2.1566,-0.8434,-28.1,gaussian,,,,,,,
